"campaign_type","class_of_mail","days_to_response","n","mean_daily_resp_rate","mean_pct_resp","n_daily_resp","mean_cum_rr"
"latest inquiry","1st",90,239,4.29083677407265e-05,0.00159758854393305,55.9986736419414,1.00000000002929
"ad hoc","1st",0,24,4.82167334370587e-05,0.004105898625,5.879646831,0.004105898625
"ad hoc","1st",1,24,5.79343463107964e-05,0.00377853408333333,5.41086080733333,0.00788443270833333
"ad hoc","1st",2,24,2.55337405679905e-05,0.00624458425,8.942244646,0.0141290169583333
"ad hoc","1st",3,24,6.46759519037476e-05,0.0193777491666667,27.7489368066667,0.033506766125
"ad hoc","1st",4,24,0.000382544184095611,0.127858967416667,183.094041340667,0.161365733541667
"ad hoc","1st",5,24,0.000280226277890498,0.0988450844583333,141.546160944333,0.260210818
"ad hoc","1st",6,24,0.000322312435014066,0.0575370615,82.393072068,0.3177478795
"ad hoc","1st",7,24,0.000223820295836398,0.0431301364583333,61.7623554083333,0.360878015958333
"ad hoc","1st",8,24,0.000138650322989407,0.0350369715833333,50.1729433073333,0.395914987541667
"ad hoc","1st",9,24,6.55696008350219e-05,0.0284717341666667,40.7715233266667,0.424386721708333
"ad hoc","1st",10,24,5.20898445639038e-06,0.00084005375,1.20295697,0.425226775458333
"ad hoc","1st",11,24,0.000177763285858477,0.02067429525,29.605590798,0.445901070708333
"ad hoc","1st",12,24,0.000118054275037355,0.00861262908333333,12.3332848473333,0.454513699791667
"ad hoc","1st",13,24,0.000191470548539959,0.0266512825833333,38.1646366593333,0.481164982375
"ad hoc","1st",14,24,9.34958183635309e-05,0.0209791334166667,30.0421190526667,0.502144115791667
"ad hoc","1st",15,24,6.10650933336627e-05,0.0157263570416667,22.5201432836667,0.517870472833333
"ad hoc","1st",16,24,1.56264975659386e-06,0.00039949225,0.572072902,0.518269965083333
"ad hoc","1st",17,24,1.4099314213603e-05,0.00587161791666667,8.40815685666667,0.524141583
